Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
78,164973,164464,169362,173010,175607,175691,179329,192850,195530,195596,201094,204098,209656,210373,212307,217889,219160,218528,216695,217234,220303,224011,221185,205579,190109,170221,182019,252523,247295,233775,221789,218404,215723,215100,212061,209232,213018,217748,218204,215637,210464,211092,218098,222256,225678
79,150051,153323,152843,157744,161327,163718,164199,168024,180238,183413,183583,188706,192233,197673,198572,200327,205726,207301,207112,204919,205940,209056,212856,209808,195147,180539,161574,174690,239387,235798,223737,212035,208388,205981,205552,202954,200776,204793,209514,210303,208013,203437,203851,211352,214988
80,135958,138579,141561,141219,145825,149021,151432,152148,155827,167289,171060,172911,177671,181006,185563,185745,187976,193452,195040,194434,192895,194298,197423,200712,198282,184006,170355,152885,167051,225722,224557,212400,201292,198137,195939,195969,193497,192044,195826,200901,201865,200133,195590,196702,203186
81,122728,124627,126704,129776,129127,133424,137161,139373,139582,144074,156081,158170,160026,165116,167983,172393,173073,175697,180959,181742,181964,180716,182172,184874,188381,185783,172508,160294,143712,158757,212119,212706,200563,190187,187292,185686,185871,183701,182674,186673,192095,193053,191376,187782,188243
82,112501,111307,113119,115201,117867,117066,121449,125199,126804,127543,131969,142999,145185,147348,152181,154498,159171,160218,163138,167534,168634,169326,168222,169370,172357,175518,173066,160955,149418,134066,150866,198839,199277,188112,178883,176435,175039,175246,173487,173393,177177,182599,183284,182573,178566
83,99669,101160,99439,101692,103312,105643,105113,109701,113023,114699,115806,120091,129966,132432,134477,138845,141368,145937,147530,149712,154322,155616,156384,155352,156766,159209,161847,160457,148650,138413,124475,141183,184408,185352,175417,167593,165392,163976,164436,163123,163354,167314,172336,173684,172237
84,84132,88751,89548,88209,90176,91358,93925,93659,97412,101534,102997,104314,108377,117299,119595,121370,125900,128386,132977,134210,136505,141172,142603,142715,142361,143319,145782,148863,147019,136253,127404,114932,131094,169551,171479,162410,155709,153708,152580,153438,152191,153035,156442,162215,162382
85 / 85+,72950,73799,77768,78359,77111,78803,80259,82511,82122,85982,462426,476417,490648,508410,530871,550052,572637,594997,620376,638992,120900,123789,128115,129003,129583,129034,129905,133062,134869,133558,123949,116605,104822,120673,154589,157562,149417,143587,141810,141216,141960,141337,141546,145956,150471
86,62182,62998,63452,67375,67830,66374,68439,69658,71545,71550,,,,,,,,,,,106685,107910,110847,114372,115816,115903,115596,117050,119628,121271,120725,111907,105031,94384,110266,139974,143482,136282,131223,130074,129572,130434,129719,130839,133863
87,50827,53204,53257,54039,57635,57778,56624,58773,59498,61591,,,,,,,,,,,90963,94268,95561,97805,101479,102484,102444,103081,103670,106348,108260,107556,99673,93576,84485,100119,125303,129386,122949,119005,118264,117684,118341,118553,118573
88,41478,42556,44768,44875,45405,48693,48845,47881,49863,50605,,,,,,,,,,,77323,79447,82484,82822,85677,88600,89500,89920,89969,90985,93759,95321,94512,87394,82509,74722,90343,110486,115203,110261,106984,106335,105458,106997,105902
89,33761,34209,35109,36952,37062,37590,40721,40695,39613,41862,,,,,,,,,,,63850,66569,68652,70575,71572,73413,76034,77486,77353,77805,78954,81180,82417,81960,75580,72056,65314,80459,95827,101866,97634,94571,93714,93957,94082
90,97487,102306,105728,109070,113000,115907,120065,126686,131886,135744,,,,,,,,,,,201523,212895,226479,233804,244744,252185,259912,271096,276796,283142,291727,296615,302617,307674,312628,313555,312480,303512,310535,332319,355764,372286,379101,393030,392747
